w_score,keywords,sentence,epoch,score_0,score_1,score_2,score_3,score_4
0.8289201706647873,"capital punishment: crimes, commit, cruel, capital, cases, punished",capital punishment is cruel and in some cases people are punished for their crimes. if you commit a crime you should be punished accordingly................................................... ,3,0.9182905554771423,1.0361136198043823,0.6910069584846497,0.6563377380371094,0.31284621357917786
0.778659176826477,"voting: elected, reflect, voting, truly, ensure, officials","compulsory voting would ensure that elected officials reflect the true views of the people and ensure that the voting process is fair. if elected, it would ensure that the system is truly functioning.. it would be a waste of time.. and it would be a waste of money.................................... ",3,0.8934856653213501,0.8756600618362427,0.34735995531082153,0.6256595253944397,0.3165242671966553
0.7321541547775269,"cloning: medical, bring, useful, cloning, benefits, notably",human cloning can bring useful medical benefits notably in the future. it should be banned...............................................              ,3,0.8129666447639465,0.7751219868659973,0.35672152042388916,0.6365984678268433,0.43326741456985474
0.7255446135997773,"libertarianism: feel, relaxed, citizens, libertarianism, adopting",adopting libertarianism would make citizens feel relaxed and free. it would also help the economy.................................................          ,3,0.798764169216156,0.8351974487304688,0.5043169856071472,0.5279039740562439,0.5354224443435669
0.7242989420890809,"cloning: chances, lessen, cancer, finding, dementia, deadly",human cloning can help to lessen the chances of finding cures for deadly diseases such as cancer and dementia and could help to lessen the chances of a cure........................................             ,3,0.8267931938171387,0.5743103623390198,0.6357063055038452,0.7630588412284851,0.434285044670105
0.7230750769376755,"austerity regime: deficits, reduce, budget, adopted, regimes, crises",austerity regimes are the only way to reduce budget deficits and to reduce crises that can be adopted by governments.................................................... ,3,0.7737310528755188,0.8312376737594604,0.7330917716026306,0.6255911588668823,0.4484378397464752
0.7152870059013366,"cosmetic surgery: make, adults, types, decisions, know, wait",people should be able to make their own decisions if they know they can't wait until they make these types of decisions. they should be allowed to do so............................................... ,3,0.8998768925666809,0.6480026245117188,0.5660732984542847,0.3806125819683075,0.5962551832199097
0.7139089941978455,"multi-party system: adopt, system, viewpoints, solve",we should adopt a multi-party system because it will solve problems from multiple viewpoints and not just from one party. it will be more fair to all. it will also help the economy. it will also help the economy..................................              ,3,0.846163809299469,0.6728919148445129,0.394206702709198,0.49961310625076294,0.5632608532905579
0.7035679131746293,"zoos: increased, efforts, zoos, results, conservation, learn",zoos are important for conservation efforts and results in increased education. zoos help people learn about animals and their environment. they should be abolished........................................            ,3,0.7850616574287415,0.8774175047874451,0.5916652679443359,0.5325937867164612,0.29034826159477234
0.7034604668617248,"pride: send, signal, canceling, seen, lgbt",canceling pride parades would send a signal that lgbt people should be seen as equal. it would also send a signal to the lgbt community..............................................,3,0.782435953617096,0.6989154815673828,0.6016870737075806,0.6413043141365051,0.4419853091239929
0.7014735400676727,"atheism: actions, watching, accountable, fear, instill, hold",we should adopt atheism because it will instill fear and accountability in the people watching and holding them accountable for their actions. it will also instill fear and fear in the world.. it will be a good thing.. it will help us all...............................              ,3,0.80644690990448,0.6907150149345398,0.6456118226051331,0.5404881834983826,0.5200944542884827
